object_name,object_id,mean_motion,eccentricity,inclination,arg_of_pericenter,norad_cat_id,object_name_unique
STARLINK-34951,2025-184W,15.05643249,0.0001218,97.6031,130.9403,65293,STARLINK
STARLINK-34613,2025-184X,15.05652738,0.00014726,97.6029,94.0423,65294,STARLINK
STARLINK-34834,2025-184Y,15.05652688,7.489e-05,97.6031,130.659,65295,STARLINK
STARLINK-34872,2025-184Z,15.05641597,0.00022505,97.6029,93.1309,65296,STARLINK
STARLINK-34899,2025-189A,15.30211741,0.00011608,53.1587,87.9941,65323,STARLINK
STARLINK-34196,2025-189B,15.30221764,9.914e-05,53.1599,105.6341,65324,STARLINK
STARLINK-34911,2025-189C,15.30200914,0.0001406,53.1616,95.435,65325,STARLINK
STARLINK-34902,2025-189D,15.30200522,0.00012713,53.1611,89.2555,65326,STARLINK
STARLINK-34880,2025-189E,15.30202222,0.0001048,53.1618,92.3755,65327,STARLINK
STARLINK-34885,2025-189F,15.30201954,0.00011105,53.1596,81.0498,65328,STARLINK
STARLINK-34908,2025-189G,15.30194237,0.00012468,53.1588,86.0385,65329,STARLINK
STARLINK-34864,2025-189H,15.30202908,0.0001013,53.1588,58.6457,65330,STARLINK
STARLINK-34918,2025-189J,15.3020801,9.107e-05,53.1594,73.1351,65331,STARLINK
STARLINK-33890,2025-189K,15.30202489,0.00011651,53.1596,92.3069,65332,STARLINK
STARLINK-34602,2025-189L,15.30203852,0.00014204,53.1623,91.9744,65333,STARLINK
STARLINK-34878,2025-189M,15.30194695,0.00012596,53.1585,81.7396,65334,STARLINK
STARLINK-34874,2025-189N,15.30186705,0.0001298,53.1615,90.7286,65335,STARLINK
STARLINK-34835,2025-189P,15.30208506,0.00012446,53.1629,107.5353,65336,STARLINK
STARLINK-34854,2025-189Q,15.30205226,0.00010713,53.1603,76.6388,65337,STARLINK
STARLINK-34751,2025-189R,15.30196938,0.00014177,53.1597,80.7401,65338,STARLINK
STARLINK-34777,2025-189S,15.30200756,0.00015012,53.1604,84.1024,65339,STARLINK
STARLINK-35020,2025-189T,15.30207138,0.00014295,53.1607,89.6666,65340,STARLINK
STARLINK-35016,2025-189U,15.30207176,0.00014058,53.1599,91.6079,65341,STARLINK
STARLINK-35092,2025-189V,15.30175256,0.00010507,53.161,82.7142,65342,STARLINK
STARLINK-34838,2025-189W,15.30205626,0.00017754,53.1622,118.2219,65343,STARLINK
STARLINK-35088,2025-189X,15.30202491,0.00014408,53.1627,106.2343,65344,STARLINK
STARLINK-34831,2025-189Y,15.30204145,0.00012321,53.159,66.4048,65345,STARLINK
STARLINK-34873,2025-189Z,15.30200333,0.00014073,53.1615,91.7109,65346,STARLINK
STARLINK-34881,2025-189AA,15.30215034,0.00012115,53.16,95.1369,65347,STARLINK
STARLINK-34859,2025-189AB,15.30225556,0.00012088,53.1581,94.9098,65348,STARLINK
STARLINK-34895,2025-189AC,15.30242788,0.00012195,53.159,79.8195,65349,STARLINK
STARLINK-34892,2025-189AD,15.30218777,0.00012637,53.1597,79.1321,65350,STARLINK
STARLINK-34244,2025-190A,15.30220233,0.00011718,53.1595,85.2026,65351,STARLINK
STARLINK-34716,2025-190B,15.30204287,0.00010928,53.1594,91.5988,65352,STARLINK
STARLINK-34828,2025-190C,15.30197397,0.00013063,53.1619,96.4338,65353,STARLINK
STARLINK-34785,2025-190D,15.30196912,0.00014294,53.1618,91.205,65354,STARLINK
STARLINK-34823,2025-190E,15.3020716,0.00011455,53.1609,85.8832,65355,STARLINK
STARLINK-34680,2025-190F,15.30204624,0.00010641,53.1604,93.143,65356,STARLINK
STARLINK-34860,2025-190G,15.30206054,0.00010555,53.1588,60.8784,65357,STARLINK
STARLINK-34782,2025-190H,15.30200378,0.00012635,53.1605,85.4857,65358,STARLINK
STARLINK-34760,2025-190J,15.30206799,0.00013525,53.1617,89.6371,65359,STARLINK
STARLINK-34826,2025-190K,15.30211543,0.00012064,53.1591,64.8704,65360,STARLINK
STARLINK-34800,2025-190L,15.30201976,0.00013515,53.1612,92.1799,65361,STARLINK
STARLINK-34817,2025-190M,15.30182269,0.00013879,53.159,89.8979,65362,STARLINK
STARLINK-34797,2025-190N,15.30203223,0.00013252,53.1605,100.5576,65363,STARLINK
STARLINK-34729,2025-190P,15.30217594,9.013e-05,53.1604,94.6481,65364,STARLINK
STARLINK-34710,2025-190Q,15.30201253,0.00013375,53.161,93.3674,65365,STARLINK
STARLINK-34943,2025-190R,15.30199737,0.00012448,53.16,79.7865,65366,STARLINK
STARLINK-34946,2025-190S,15.3018409,0.00012586,53.1592,96.235,65367,STARLINK
STARLINK-34259,2025-190T,15.3020109,0.00014558,53.16,104.8396,65368,STARLINK
STARLINK-34913,2025-190U,15.30203288,8.998e-05,53.1589,73.7456,65369,STARLINK
STARLINK-34870,2025-190V,15.30221337,9.804e-05,53.1605,81.477,65370,STARLINK
STARLINK-34869,2025-190W,15.30205995,0.00014248,53.1599,98.0346,65371,STARLINK
STARLINK-34903,2025-190X,15.30210372,0.00011428,53.161,61.2158,65372,STARLINK
STARLINK-34891,2025-190Y,15.30190341,0.00014484,53.1617,80.7455,65373,STARLINK
STARLINK-34900,2025-190Z,15.30203614,0.00013074,53.1614,90.2657,65374,STARLINK
STARLINK-34305,2025-190AA,15.30205256,0.00011929,53.162,93.5223,65375,STARLINK
STARLINK-34249,2025-190AB,15.30208494,0.00013176,53.1613,92.8761,65376,STARLINK
STARLINK-34879,2025-190AC,15.30198614,0.00016588,53.1624,105.4086,65377,STARLINK
STARLINK-34912,2025-190AD,15.30207317,0.00011739,53.1609,101.2033,65378,STARLINK
STARLINK-34985,2025-191A,15.05672085,0.00031161,97.6038,83.2032,65379,STARLINK
STARLINK-35051,2025-191B,15.05651596,0.00017634,97.6059,77.689,65380,STARLINK
STARLINK-35028,2025-191C,15.05649592,0.00029284,97.604,81.0549,65381,STARLINK
STARLINK-35032,2025-191D,15.05651331,0.00025548,97.6024,73.6707,65382,STARLINK
STARLINK-35054,2025-191E,15.05652376,0.00030138,97.6043,81.5869,65383,STARLINK
STARLINK-35012,2025-191F,15.05653423,0.00028665,97.6036,76.0378,65384,STARLINK
STARLINK-35073,2025-191G,15.05654154,0.0002101,97.6042,78.2253,65385,STARLINK
STARLINK-35066,2025-191H,15.05646883,0.00028405,97.6043,77.268,65386,STARLINK
STARLINK-34703,2025-191J,15.05666459,0.0001724,97.6039,76.1307,65387,STARLINK
STARLINK-34957,2025-191K,15.05649378,0.00025334,97.6043,87.2963,65388,STARLINK
