OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32247,2024-144X,2026-04-16T04:16:32.462400,15.30141254,0.00015995,53.1614,32.5732,88.0109,272.1075,0,U,60446,999,9523,0.00030865201,8.777e-05,0.0
STARLINK-32101,2024-144Y,2026-04-16T05:58:05.341152,15.30194726,0.00012028,53.1616,42.384,89.7119,270.402,0,U,60447,999,9506,1.2674012e-05,1.6e-07,0.0
STARLINK-31844,2024-150A,2026-04-16T05:34:55.685280,15.30193757,0.00011008,53.1593,132.3408,84.7102,275.4024,0,U,60583,999,9379,4.469299e-06,-2.27e-06,0.0
STARLINK-32204,2024-150B,2026-04-16T01:30:45.785952,15.30184975,0.00011706,53.1596,133.4123,89.5751,270.5384,0,U,60584,999,9376,7.0516e-08,-3.57e-06,0.0
STARLINK-32130,2024-150C,2026-04-16T06:46:20.939520,15.30199529,0.00010423,53.1605,132.6491,75.2875,284.8241,0,U,60585,999,9371,3.866112e-06,-2.45e-06,0.0
STARLINK-32173,2024-150D,2026-04-15T06:23:52.257984,15.30219938,9.44e-05,53.1599,136.9718,68.0515,292.0586,0,U,60586,999,9364,-0.00018088,-5.715e-05,0.0
STARLINK-31911,2024-150E,2026-04-16T06:32:40.251840,15.30190756,0.00011036,53.1602,132.5894,76.1724,283.94,0,U,60587,999,9371,5.0593678e-05,1.139e-05,0.0
STARLINK-31994,2024-150F,2026-04-16T05:44:02.807232,15.30191445,0.00010268,53.1589,132.3733,84.5285,275.5833,0,U,60588,999,9371,6.92216e-07,-3.38e-06,0.0
STARLINK-32169,2024-150G,2026-04-16T05:29:00.629664,15.30196263,0.00011965,53.1607,133.0236,76.487,283.6264,0,U,60589,999,9378,1.6924854e-05,1.42e-06,0.0
STARLINK-32209,2024-150H,2026-04-15T06:31:28.842240,15.30190659,0.0001131,53.1589,137.0061,85.6771,274.4359,0,U,60590,999,9364,-1.5757e-06,-4.06e-06,0.0
STARLINK-32170,2024-150J,2026-04-16T05:21:24.772896,15.30194846,0.0001186,53.1611,132.9901,72.4236,287.6895,0,U,60591,999,9370,2.0029495e-05,2.34e-06,0.0
STARLINK-31497,2024-150K,2026-04-16T06:22:02.222400,15.3019465,0.00012479,53.1596,132.5412,83.9504,276.1639,0,U,60592,999,9379,-3.259802e-05,-1.324e-05,0.0
STARLINK-32161,2024-150L,2026-04-15T06:28:26.557248,15.3019157,0.0001211,53.16,136.9922,90.3544,269.7596,0,U,60593,999,9356,1.6569e-05,1.32e-06,0.0
STARLINK-32210,2024-150M,2026-04-16T05:39:29.490336,15.30205527,0.0001009,53.159,132.3528,105.5633,254.5479,0,U,60594,999,9379,5.2154297e-05,1.186e-05,0.0
STARLINK-32202,2024-150N,2026-04-16T06:41:48.296544,15.30201665,0.00013225,53.1598,132.6267,91.3016,268.8136,0,U,60595,999,9379,-3.2725095e-05,-1.328e-05,0.0
STARLINK-31930,2024-150P,2026-04-16T01:06:25.207776,15.30204111,0.00010822,53.1582,133.3032,88.3313,271.7812,0,U,60596,999,9368,5.2600066e-05,1.199e-05,0.0
STARLINK-32162,2024-150Q,2026-04-16T05:25:58.202112,15.30195609,0.00010137,53.159,133.0101,74.8353,285.276,0,U,60597,999,9378,1.500909e-05,8.5e-07,0.0
STARLINK-32208,2024-150R,2026-04-16T05:30:32.034816,15.30193057,0.00012045,53.1598,133.0305,70.9713,289.1418,0,U,60598,999,9378,1.1329121e-05,-2.4e-07,0.0
STARLINK-32165,2024-150S,2026-04-16T05:16:52.635360,15.30180986,0.00011822,53.1591,132.9697,78.6328,281.4806,0,U,60599,999,9378,-3.4622986e-05,-1.384e-05,0.0
STARLINK-31923,2024-150T,2026-04-16T06:35:42.695808,15.30203713,0.00012054,53.1608,132.5999,57.9839,302.1279,0,U,60600,999,9379,-3.768563e-05,-1.475e-05,0.0
STARLINK-31988,2024-150U,2026-04-16T06:26:35.639520,15.3018863,0.00012003,53.1602,132.5608,78.9885,281.125,0,U,60601,999,9371,1.5591277e-05,1.03e-06,0.0
STARLINK-31983,2024-150V,2026-04-16T01:26:12.390432,15.30176931,0.00012272,53.1599,133.3908,91.2286,268.8855,0,U,60602,999,9368,5.7602956e-05,1.346e-05,0.0
STARLINK-31874,2024-150W,2026-04-16T06:17:28.574592,15.30189752,0.00011657,53.16,132.5199,87.6433,272.4701,0,U,60603,999,9379,1.7395032e-05,1.56e-06,0.0
STARLINK-32039,2024-150X,2026-04-15T06:32:24.546048,15.30189793,0.0001082,53.1591,139.8505,90.6581,269.4544,0,U,60604,999,9360,-8.9912e-06,-6.25e-06,0.0
STARLINK-11247 [DTC],2024-152A,2026-04-16T05:01:21.817920,15.69717903,8.718e-05,53.1599,291.6158,91.5201,268.5917,0,U,60720,999,9472,-2.963965e-06,-9.47e-06,0.0
STARLINK-11259 [DTC],2024-152B,2026-04-15T21:15:52.827840,15.69709764,7.569e-05,53.1597,293.1525,53.4865,306.6222,0,U,60721,999,9467,2.486507e-06,-2.87e-06,0.0
STARLINK-11188 [DTC],2024-152C,2026-04-15T19:37:07.540896,15.69750354,5.62e-05,53.1589,293.4321,84.9705,275.1377,0,U,60722,999,9478,-6.4738646e-05,-8.436e-05,0.0
STARLINK-11272 [DTC],2024-152D,2026-04-15T19:23:00.679200,15.69688243,0.0001136,53.161,293.3669,72.6886,287.4256,0,U,60723,999,9466,4.444865e-05,4.795e-05,0.0
STARLINK-11261 [DTC],2024-152E,2026-04-15T22:33:26.160768,15.69704155,8.472e-05,53.158,292.7719,76.8332,283.2781,0,U,60724,999,9468,2.3061541e-05,2.206e-05,0.0
STARLINK-11263 [DTC],2024-152F,2026-04-15T22:19:18.403968,15.69706932,0.00010111,53.1605,292.7064,101.3195,258.7937,0,U,60725,999,9468,1.5451133e-05,1.283e-05,0.0
STARLINK-11235 [DTC],2024-152G,2026-04-16T05:50:39.716736,15.69710659,7.312e-05,53.1591,291.1049,101.336,258.774,0,U,60726,999,9486,9.453111e-06,5.57e-06,0.0
